"name","hash"
"twchan",6172943048988340991
"ResDown",-7345116998175496447
"W3Jets_exclusive",-5556521433054761982
"W1JetsToLNu_matchingdown",-5066214643204692732
"W1JetsToLNu_matchingup",5171405468891779590
"QCD_Pt_170_250_EMEnriched",-1131764436476127221
"W2JetsToLNu_scaledown",6289097422389053453
"EnDown",1606244707389310733
"UnclusteredEnDown",-1929847186211618544
"QCD_Pt_170_250_BCtoE",-7992516217760263151
"iso",660459120082185234
"UnclusteredEnUp",-6570443796492256236
"Tbar_t_ToLeptons_mass175_5",3388349725823671574
"ttjets",-3018721157720614631
"wjets_fsim_nominal",7725696448015232026
"SingleEle2",8996946300330342685
"QCDMu",-889931384445578210
"W4JetsToLNu_scaleup",-4568405889842439903
"Tbar_t_ToLeptons_mass166_5",-4110740078260696286
"W1Jets_exclusive",2293053239299262254
"Tbar_s",-8553652707434737106
"W3JetsToLNu",-565046531822654671
"W2JetsToLNu_scaleup",3691565219545490994
"WW",-6283172160600166347
"data_ele",918917070761010741
"qcd_mc_mu",3396379490647922742
"T_t",5616709148683177782
"QCD_Pt_30_80_EMEnriched",6939712999754977343
"TToBMuNu_anomWtb-unphys_t-channel",-5742404963617948353
"T_tW",-8145229131698252478
"T_t_ToLeptons_mass169_5",3894743334247475012
"Tbar_tW",1375546526215367751
"unknown",770649104541934919
"ResUp",-5668159146049493175
"W3JetsToLNu_scaleup",-2174099905925271216
"W4JetsToLNu_matchingup",-8620631191190545326
"QCD_Pt_20_30_BCtoE",-6317214440370142381
"W4Jets_exclusive",1004379396632133971
"WZ",-5575088738026828204
"TToBMuNu_anomWtb-0100_t-channel",8972450075523552857
"EnUp",-7050041771230152612
"ttjets_inc",2535094092342458205
"W2JetsToLNu",7927532340995536222
"TTJets_FullLept",3771630775775750495
"TTJets_SemiLept",-332021842666342818
"schan",5783026942601162845
"SingleEle_miss",7056991057765799009
"QCD_Pt_250_350_BCtoE",-38592017772703133
"mass166_5",5276130592122672993
"W3JetsToLNu_matchingup",-395658246519338395
"TTJets_mass175_5",8325322071837314405
"W2Jets_exclusive",4720532044612043623
"WJets_inclusive",6002090576130898278
"signal_comphep_anomWtb-unphys",-9193938147156443293
"mass175_5",-2158642964131575189
"T_t_ToLeptons_mass178_5",-1762694356429358227
"TTJets_mass178_5",2445515189294046319
"TToBENu_anomWtb-unphys_t-channel",-8078902499078590864
"TTJets_matchingdown",-184731881924352144
"SingleMu",-4449385514654459022
"DYJets",341835360541503859
"QCD_Pt_80_170_EMEnriched",-5172094185426251916
"ZZ",8151235450189578612
"T_s",-1508930760008060041
"matchingdown",-700565549270020743
"tchan_inc",8174476801963269498
"QCD_Pt_80_170_BCtoE",-1160606554405827973
"signal_comphep_anomWtb-0100",3799855948784806778
"T_t_ToLeptons",9185042314377046142
"scaleup",5887652217107063935
"WJets_sherpa",3258218543631809153
"wjets_sherpa",2094284732482338946
"scaledown",-8984319808725303165
"SingleEle3",-1275924494823894903
"TToBTauNu_anomWtb-unphys_t-channel",77240412518417802
"QCD_Pt_350_EMEnriched",1072430655344688274
"W2JetsToLNu_matchingup",-909786615532710509
"wjets",5121757808866632599
"Tbar_t_ToLeptons_mass169_5",-2035098309119080549
"QCD_Pt_250_350_EMEnriched",-5739479079644577893
"data_mu",2937084309124849310
"GJets2",-7513223946620392800
"matchingup",5581967380611750304
"TToBENu_t-channel",2487253826236499874
"TToBTauNu_anomWtb-0100_t-channel",-6405256875309468253
"Tbar_t_ToLeptons_mass178_5",-6577898204592772956
"antiiso",-7352056428376866911
"nominal",6541581445004549546
"QCD_Pt_30_80_BCtoE",-5584708671122934357
"TTJets_scaledown",7881460934800292780
"GJets1",5352631151691849132
"SingleEle1",-5918511630397761361
"W4JetsToLNu_matchingdown",2323962314662885296
"TTJets_mass166_5",-1039161024456396880
"SingleMu2",-1564689850216679504
"QCD_Pt_20_30_EMEnriched",-794134259730287181
"Tbar_t_ToLeptons_scaledown",4236335595146840756
"SingleMu1",-4527284541624382027
"TTJets_mass169_5",-1663282690145939783
"TToBTauNu_t-channel",-9097130218459108421
"W1JetsToLNu",212535011132890300
"dyjets",-2565227986170774852
"mass178_5",-6506933729383504962
"TToBENu_anomWtb-0100_t-channel",-2700989091151505471
"Tbar_t_ToLeptons_scaleup",6708958916224793798
"SingleMu_miss",227034380555291082
"TTJets_matchingup",6416525077467808971
"TTJets_MassiveBinDECAY",-1214182224325414196
"W1JetsToLNu_scaledown",8277281311541870798
"SingleEle",-8093110252557980465
"SingleMu3",-4368157886161380143
"qcd_mc_ele",-225828493896107819
"T_t_ToLeptons_scaleup",-9055693301480701992
"TToBMuNu_t-channel",2021499289614481118
"W2JetsToLNu_matchingdown",3407985720396963550
"W4JetsToLNu",-6143711899904852255
"Tbar_t",-2867933274058846751
"T_t_ToLeptons_mass175_5",5734542022002424035
"TTJets_scaleup",4444169122805946084
"W4JetsToLNu_scaledown",4506453937348973290
"W3JetsToLNu_scaledown",6467602924056371948
"wjets_inc",-5671252388597784852
"mass169_5",5821583873723583468
"W1JetsToLNu_scaleup",975341556797094895
"T_t_ToLeptons_mass166_5",6708296382767226096
"W3JetsToLNu_matchingdown",-19204589962725648
"QCD_Pt_350_BCtoE",5890824732556930034
"T_t_ToLeptons_scaledown",-6103974866503134477
"gjets",1500808023366693106
"diboson",3220691612609950197
"signal_comphep_nominal",5890844821906793457
"Tbar_t_ToLeptons",2043684279594588923
"tchan",-5917519905021706497
